municipality,statefinancingperperson,profitperperson,incomeperperson,costperperson
Pirkkala,844,-165,1905,7174
Polvijärvi,3789,-428,1003,7924
Pomarkku,3812,32,889,8126
Pori,2005,-98,2382,8348
Pornainen,1228,257,705,5632
Porvoo,1208,1039,1688,7192
Posio,6012,370,2268,11212
Pudasjärvi,5010,-92,1321,9190
Pukkila,2105,-240,628,6817
Punkalaidun,4111,-51,764,7983
Puolanka,5938,172,2070,11276
Puumala,,,,
Pyhtää,1930,196,344,6238
Pyhäjoki,3595,692,845,8171
Pyhäjärvi,4096,370,914,8892
Pyhäntä,3883,-506,1037,8123
Pyhäranta,,,,
Pälkäne,2711,188,791,6944
Pöytyä,2756,289,1229,7131
Raahe,2769,558,671,7225
Raasepori,2350,278,1261,7578
Raisio,1433,332,1912,7195
Rantasalmi,3574,157,2077,9215
Ranua,5784,323,1199,9465
Rauma,1567,506,1478,7286
Rautalampi,4133,7,973,8642
Rautavaara,5786,888,2017,10488
Rautjärvi,3309,70,943,8191
Reisjärvi,4384,396,2613,9487
Riihimäki,1546,333,1240,6817
Ristijärvi,5085,-68,2430,11553
Rovaniemi,1773,176,1165,7104
Ruokolahti,2438,293,1082,7445
Ruovesi,3844,278,769,8213
Rusko,1006,160,850,5714
Rääkkylä,4883,-1,1019,8946
Saarijärvi,3755,236,1230,7981
Salla,6107,280,2185,11260
Salo,2401,148,1136,7096
Sastamala,2911,193,1894,8023
Sauvo,1824,283,716,6476
Savitaipale,3949,83,1112,8578
Savonlinna,2839,299,904,7644
Savukoski,4999,942,1412,10367
Seinäjoki,1786,-86,1310,7331
Sievi,4211,401,747,8027
Siikainen,4025,534,977,7844
Siikajoki,3702,192,641,7522
Siikalatva,4623,427,1448,8975
Siilinjärvi,1919,25,1180,7381
Simo,3244,181,751,7811
Sipoo,796,166,1409,6558
Siuntio,915,280,1577,7062
Sodankylä,3325,650,1532,9194
Soini,4036,-276,1317,8681
Somero,3243,146,1264,7547
Sonkajärvi,4285,1212,1146,8034
Sotkamo,2766,-341,1170,8456
Sulkava,4609,67,852,9077
Suomussalmi,4473,262,1314,9076
Suonenjoki,3808,-79,1048,8311
Sysmä,,,,
Säkylä,2225,404,1361,7256
Taipalsaari,1533,419,629,6163
Taivalkoski,5085,534,1843,9447
Taivassalo,2749,487,850,7073
Tammela,2156,45,718,6506
Tampere,1477,306,2301,7724
Tervo,4548,45,1976,10128
Tervola,3942,578,1469,8720
Teuva,3862,419,772,7537
Tohmajärvi,4271,-52,1742,9112
Toholampi,3953,540,2811,9456
Toivakka,2754,49,969,7151
Tornio,2060,-35,1270,7262
Turku,1569,189,1745,7547
Tuusniemi,4258,-131,1897,9663
Tuusula,816,297,1276,6401
Tyrnävä,3239,26,751,6881
Ulvila,1880,60,764,6573
Urjala,3494,89,1312,7982
Utajärvi,4696,393,1243,9393
Utsjoki,6338,-392,3329,13380
Uurainen,2948,272,947,6833
Uusikaarlepyy,3003,322,900,7088
Uusikaupunki,1968,180,2040,7839
Vaala,4955,284,1131,9771
Vaasa,1983,265,1856,7912
Valkeakoski,2124,48,1781,7867
Vantaa,1067,256,1397,6606
Varkaus,2788,-149,2472,9291
Vehmaa,2685,364,2961,9048
Vesanto,,,,
Vesilahti,1794,106,641,6133
Veteli,3989,391,1157,8146
Vieremä,3291,1248,452,7000
Vihti,1113,219,595,5784
Viitasaari,4366,424,5101,12367
Vimpeli,3428,353,1490,8112
Virolahti,3315,-511,2085,9425
Virrat,4125,289,5368,12415
Vöyri,,,,
Ylitornio,5254,270,2997,11156
Ylivieska,2992,245,2814,9289
Ylöjärvi,1450,-19,886,6416
Ypäjä,2381,335,1051,6571
Ähtäri,3572,58,896,8070
Äänekoski,2721,113,1141,7763
